Unnamed: 0,제품명,리뷰어,날짜,옵션,사이즈평가,밝기평가,색감평가,두께감평가,리뷰내용,이미지,링크,성별,키,몸무게,카테고리
15,스탠다드 스웨츠 셔츠,LV.4 하파드,25일 전,그레이/3XL,커요,보통이에요,선명해요,보통이에요,사이즈는 약간 크게 나온것같고 착용감이 아주 좋아요.,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_655731349e823.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,186,100,셔츠
16,스탠다드 스웨츠 셔츠,LV.5 밈큐,2023.11.04,그레이/XL,보통이에요,보통이에요,보통이에요,보통이에요,감사합니다 배송 빠르고 면감 훌륭합니다 다음에 또 들릴게요,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_65462ae85bd2d.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,183,68,셔츠
17,스탠다드 스웨츠 셔츠,LV.5 밈큐,2023.11.04,블랙/XL,보통이에요,보통이에요,보통이에요,보통이에요,감사합니다 배송 빠르고 면감 훌륭합니다 다음에 또 들릴게요,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_65462a969c57e.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,183,68,셔츠
18,스탠다드 스웨츠 셔츠,LV.5 니키윤자,3일 전,블랙/XL,작아요,보통이에요,보통이에요,보통이에요,역시맨투맨은리브레너 스탠다드스웨트 셔츠입니다,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_6575075cc3265.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,175,77,셔츠
19,스탠다드 스웨츠 셔츠,LV.5 니키윤자,5일 전,그레이/XL,보통이에요,보통이에요,보통이에요,보통이에요,역시 맨투맨은 리브레너 맨투맨입니다.강추 따봉,"[""'//image.msscdn.net/data/estimate/3574305_0/gallery_6572d6dd320cb.jpg.list'""]",https://www.musinsa.com/app/goods/3574305,남성,175,77,셔츠
20,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.5 엇재,2021.11.20,"L
                                    
                                        , L",보통이에요,보통이에요,보통이에요,보통이에요,이거 입고 수능 대박 났습니다 너무 이뻐요 추천합니다,"[""'//image.msscdn.net/data/estimate/2043056_0/gallery_6198aea884c79.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,남성,175,67,트레이닝
21,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.5 gongonn,2021.10.06,"L(후드)
                                    
                                        , L",커요,보통이에요,보통이에요,두꺼워요,평소에도 L로 입는데 바지 허리가 너무 커요 ㅠ 교환기간 지나고 입어봐서 그냥 입어야하는데 옷 자체는 좋은거 같아요!,"[""'//image.msscdn.net/data/estimate/2043056_0/gallery_615da02daa6de.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,남성,173,70,트레이닝
22,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.5 dnstjs,2021.09.24,"M(후드)
                                    
                                        , M",보통이에요,어두워요,선명해요,두꺼워요,기장도 짧지 않고 좋아요 기모있는 걸로 해서 그런가 두깨도 도톰하고 좋아요,"[""'//image.msscdn.net/data/estimate/2043056_0/gallery_614d9409a93d3.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,여성,176,65,트레이닝
23,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.4 뚜요니ㅡㅡ,2021.11.18,"L(후드)
                                    
                                        , L",커요,보통이에요,선명해요,보통이에요,"배송 엄청 늦게 올줄 알고 기대안하고 있었는데 생각보다 빨리 와서 아주 나이스였구요, 사이즈 조금 넉넉하게 L로 사서 아주 그냥 원하는 핏 나와서 뒤집어집니다🤭그리고 시보리도 짱짱하고 추리닝셋업인데도 입으면 엄청 힙하고 난리나요. 가격대비 아주 괜찮은 셋업입니당 💜","[""'//image.msscdn.net/data/estimate/2043056_0/gallery_61965fc6eb151.jpg.list'"", ""'//image.msscdn.net/data/estimate/2043056_0/gallery_61965fc7d5869.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,여성,165,65,트레이닝
24,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.3 민민민민민경,2021.10.04,"M(후드)
                                    
                                        , S",보통이에요,보통이에요,선명해요,두꺼워요,"M사이즈 후드만 착용한 사진이긴 한데 진짜 예쁘고 부드럽게 두툼해서 입을때 착용감도 짱짱입니다 ,,ㅜㅜ 핏 진짜 너무 예뻐요 외 안사 얼룬 사 !!!","[""'//image.msscdn.net/data/estimate/2043056_0/gallery_615b0f0a7d1ab.jpg.list'"", ""'//image.msscdn.net/data/estimate/2043056_0/gallery_615b0f0b62f89.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,여성,159,53,트레이닝
25,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.4 대댑,2021.09.07,"M(후드)
                                    
                                        , M",커요,보통이에요,보통이에요,두꺼워요,사이즈가 크긴한데 이뻐요! 편해서 자주 입을거같습다,"[""'//image.msscdn.net/data/estimate/2043056_0/gallery_6136fe06c012b.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,여성,158,56,트레이닝
26,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.5 나는ㄴ냐,2022.08.28,"XS(후드)
                                    
                                        , S",보통이에요,보통이에요,보통이에요,보통이에요,진짜 완전 예쁨 그냥 네이비도 예쁘고 핏도 예쁘고 모델도 예쁘고,"[""'//image.msscdn.net/data/estimate/2043056_0/gallery_630b5da3eeb85.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,여성,154,50,트레이닝
27,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.4 뉴비_3374115c,2022.09.23,"L(후드)
                                    
                                        , M",커요,어두워요,보통이에요,두꺼워요,바지는 원래 통 넓고 긴거 좋아해서 만족인데 후드가 좀 많이 오버하긴해여.. 저랑 신체사이즈 비슷하시면 후드 m 하셔도 충분히 오버사이즈로 입으실 수 있으실거에요!+) 바지도 정사이즈로 입으시려면 s사이즈 필수입니당,"[""'//image.msscdn.net/data/estimate/2043056_0/gallery_632db396c6b82.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,여성,165,62,트레이닝
28,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.3 불모산호랭이,2021.11.26,"S(후드)
                                    
                                        , S",커요,밝아요,선명해요,두꺼워요,웃긴 사진 뿐이지만 좋아요 진짜 자주 입어요 ㅋㅋ바지가 좀 크긴 한데 꽤나 따뜻해서 자주 입는답니당,"[""'//image.msscdn.net/data/estimate/2043056_0/gallery_61a0c30372de5.jpg.list'"", ""'//image.msscdn.net/data/estimate/2043056_0/gallery_61a0c304055cb.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,여성,155,40,트레이닝
29,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,LV.5 매일꾸꾸꾸,2022.01.15,"L(후드)
                                    
                                        , L",보통이에요,보통이에요,선명해요,보통이에요,저는 모든 옷을 오버핏으로 입는걸 좋아해서 위아래 라지로 구매했어요. 사이즈가 조금 더 커도 이뻤을거 같지만 입다보면 조금씩 늘어날걸 감안하면 넉넉하니 이쁜거 같아요네이비라 색깔이 밝으면 어떻게 하나 걱정했는데 어두운네이비라 입었을때 더 이쁘고 간지가 나네요.배송도 진짜 빨라서 주문한지 하루만에 받고이틀 연속으로 입었어요. 다른 색으로도 구매해볼까해요!루즈핏 좋아하시면 라지사이즈도 괜찮을거 같아요!,"[""'//image.msscdn.net/data/estimate/2043056_0/gallery_61e272994b414.jpg.list'""]",https://www.musinsa.com/app/goods/2043056,여성,166,51,트레이닝
30,빅스타 후드티,LV.4 디자인화이팅,2023.07.25,블랙/1,보통이에요,어두워요,선명해요,두꺼워요,"진짜 보자마자 팔짝 뛰면서 구매했는데 너무나도 잘 산거 같아요. 재질은 부드러워서 입었을때 포근함?이란게 있어서 너무 좋았고, 색감이랑 디자인이 사진보다 훨씬 예뻐서 놀랐어요","[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64bfa99e22880.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,남성,169,51,후드
31,빅스타 후드티,LV.3 Yvonne__,2023.08.24,오트밀/1,보통이에요,보통이에요,선명해요,두꺼워요,"기모인 줄 모르고 샀는데 그래도 너무너무 이뻐서 좋아요 사이즈는 제가 키가 작아서 예상했던대로 크긴 크지만 딱 좋아하는 핏이여서 좋아요! 나무 부들부들하고,,,, 진짜 완전 완전 예뻐요 무조건 사세요😻","[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64e7089e8332c.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,여성,158,47,후드
32,빅스타 후드티,LV.3 yuni_chung_,2023.08.18,그레이/1,보통이에요,보통이에요,보통이에요,보통이에요,핏이 너무 이쁘고 데일리로 착용하기 딱 좋은 제품이에요. 팔이 좀 길게 나왔고 저한텐 많이 넉넉했습니다..!,"[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64dec40b37302.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,여성,156,47,후드
33,빅스타 후드티,LV.3 뉴비_4f06ba69a946,2023.09.07,오트밀/1,보통이에요,보통이에요,선명해요,보통이에요,165~167/8 분들.. 오버핏광인이라고 냅다 2사는건 한번만 다시 생각해보세요 2시켰다가 옷은 이쁜데 포대자루 뒤집어쓴 사람 될수있어요 진짜로.. 체감성 총장 74는 되는느낌이었어요 1시키니까 적당히 오버핏되고 좋네요 과유불급이란 말이 있습니다 1도 충분히 크니까 무턱대고 2시켰다가 저처럼 눈물을 머금고 교환하고 배송 애타게 기다리는 불상사 안벌이시길 빕니다 옷은.흠잡을데없네요 이뻐요..,"[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64f9db396a167.jpg.list'"", ""'//image.msscdn.net/data/estimate/3411311_0/gallery_64f9db3a1b017.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,여성,166,99,후드
34,빅스타 후드티,LV.3 크롱사랑해용,2023.09.09,오트밀/1,보통이에요,보통이에요,보통이에요,보통이에요,이뻐용⚡️⚡️⚡️😮‍💨😮‍💨🤣😮‍💨🌪️😮‍💨🌪️😮‍💨🌀😮‍💨🤗😒리히리리레렐래라라래ㅗ러ㅜㄹ렐라루루후훟ㅎ 진짜 개이쁨 근데나같은 대지는 l 사이즈도 ㄱㅊ을듯,"[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64fb3b0ed860f.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,여성,171,66,후드
35,빅스타 후드티,LV.3 jininini,2023.08.31,멜란지그레이/2,보통이에요,보통이에요,보통이에요,보통이에요,"와 이렇게 예쁜 후드 오래만입니다 항상 후드사는거 아까워했는데, 완전 좋아요ㅠㅠ","[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64f01c4d96444.jpg.list'"", ""'//image.msscdn.net/data/estimate/3411311_0/gallery_64f01c4e31aa3.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,여성,170,62,후드
36,빅스타 후드티,LV.3 뉴비_849725d38903,2023.08.07,오트밀/2,커요,보통이에요,선명해요,두꺼워요,기모가 있는데 두껍기도 해서 겨울에 입기 좋을거 같아요 디자인도 예쁘고 귀엽고 오버핏 좋아하면 강추,"[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64d0ec250df07.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,남성,180,60,후드
37,빅스타 후드티,LV.4 람 박,2023.08.14,오트밀/2,보통이에요,보통이에요,보통이에요,보통이에요,옷이 오버하게 똑 떨어져서 핏이 이쁘고 겨울에 자주 입을 것 같아요,"[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64da410be909a.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,남성,172,65,후드
38,빅스타 후드티,LV.3 뉴비_70352dbfc419,2023.08.24,오트밀/1,보통이에요,보통이에요,보통이에요,보통이에요,기모도 적당하고 이뻐요 가볍고 색감이 화면이랑 같아요,"[""'//image.msscdn.net/data/estimate/3411311_0/gallery_64e7049fe2cec.jpg.list'"", ""'//image.msscdn.net/data/estimate/3411311_0/gallery_64e704a0a5e5c.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,여성,161,55,후드
39,빅스타 후드티,LV.5 주민성 시다바리,2023.09.24,버건디/2,보통이에요,보통이에요,선명해요,두꺼워요,코디하기 어려울줄 알았는데 받아보니 색상이 너무 예뻐서 어디든 잘 어울렸고 팔에 라인 포인트가 너무 예뻐요,"[""'//image.msscdn.net/data/estimate/3411311_0/gallery_650f1c52347f5.jpg.list'""]",https://www.musinsa.com/app/goods/3411311,남성,173,52,후드
40,SAU 로고 오버핏 맨투맨 티셔츠,LV.4 버섯재홍,2022.11.25,XL/화이트멜란지,커요,밝아요,보통이에요,얇아요,색상 이쁘고 핏도 좋아요. 무엇보다도 재질이 너무 맘에 들어요.,"[""'//image.msscdn.net/data/estimate/2902788_0/gallery_6380375b73e16.jpg.list'""]",https://www.musinsa.com/app/goods/2902788,남성,183,95,셔츠
41,SAU 로고 오버핏 맨투맨 티셔츠,LV.3 은호식이,2023.11.08,XL/그린,커요,보통이에요,보통이에요,보통이에요,할인하길래 구매했어요! XL사이즈로 주문했는데 제 키와 몸무게임에도 불구하고 너무 오버핏이에요ㅠ 어깨가 좁아보여요.  L 사이즈가 더 낳을거 같아요!,"[""'//image.msscdn.net/data/estimate/2902788_0/gallery_654b7bbc5ba60.jpg.list'""]",https://www.musinsa.com/app/goods/2902788,남성,184,79,셔츠
42,엔젤 그레이 와펜 후드 그레이,LV.4 뉴비_ad5f0b0d,11일 전,S,보통이에요,보통이에요,보통이에요,보통이에요,맘에들어요 어른도 맞고 초등학생도 루즈하게 잘 맞네요,"[""'//image.msscdn.net/data/estimate/3057660_0/gallery_6569cf404bcac.jpg.list'""]",https://www.musinsa.com/app/goods/3057660,여성,143,40,후드
43,엔젤 그레이 와펜 후드 그레이,LV.3 뉴비_a86f15105a17,13일 전,L,보통이에요,보통이에요,선명해요,보통이에요,세일을 하길레 조카 입으라고 사줬는데 아주 좋아하네요~~팔다리가 길고 마른체형이라 팔이 넘 딱맞긴하지만  폼은 정사이즈네요~~예뻐요~~,"[""'//image.msscdn.net/data/estimate/3057660_0/gallery_65683261e43ac.jpg.list'""]",https://www.musinsa.com/app/goods/3057660,남성,172,55,후드
44,엔젤 그레이 와펜 후드 그레이,LV.3 뉴비_89c6e9ae6bcb,16일 전,S,커요,밝아요,선명해요,보통이에요,초등아이가 좋아하는 브랜드예요오버핏으로 좋아해요,"[""'//image.msscdn.net/data/estimate/3057660_0/gallery_65641d1b6e0d8.jpg.list'""]",https://www.musinsa.com/app/goods/3057660,여성,152,47,후드
45,엔젤 그레이 와펜 후드 그레이,LV.3 뉴비_ff32b3b4ee14,4일 전,S,보통이에요,보통이에요,보통이에요,보통이에요,색감 화면과 비슷하구제 체형에 딱입니다~~너무나 오버핏은 좀그런데 좋습니다~무신사 할인가루 저렴히 구매했구택배기사님들 힘드시겠어요 ㅠㅠ무신사 번창하시구 모두 화이팅이요~!!좋은물건 합리적인 가격 감사합니다~~,"[""'//image.msscdn.net/data/estimate/3057660_0/gallery_657364dc756fb.jpg.list'""]",https://www.musinsa.com/app/goods/3057660,여성,162,46,후드
46,엔젤 그레이 와펜 후드 그레이,LV.3 Enjoyyo,9일 전,S,보통이에요,보통이에요,선명해요,보통이에요,그레이 후드가 필요해서 찾던중에 블프에 할인가격으로 잘 구매했어요사이즈도 적당하고 많이 무겁지 않아요기모가 없어서 더 맘에들어요,"[""'//image.msscdn.net/data/estimate/3057660_0/gallery_656c863281ffa.jpg.list'"", ""'//image.msscdn.net/data/estimate/3057660_0/gallery_656c8633a0a99.jpg.list'""]",https://www.musinsa.com/app/goods/3057660,여성,160,55,후드
47,엔젤 그레이 와펜 후드 그레이,LV.3 뭉님,9일 전,XL,보통이에요,보통이에요,보통이에요,얇아요,와펜이 너무 귀엽네요.편하게 입을 후드티 찾다가 행사해서 구매했는데질도 괜찮고 사이즈도 괜찮아요아쉬운건 도톰하지 않은데 지금은 추워서 얇은티를 입고 입어서 괜찮은데간절기에 이거 하나만 입기에는 애매할 것 같아요,"[""'//image.msscdn.net/data/estimate/3057660_0/gallery_656c80873d99a.jpg.list'""]",https://www.musinsa.com/app/goods/3057660,여성,165,65,후드
48,SPACE CAT 특양면 맨투맨_B1,LV.5 영웅이입니다,2023.09.30,다크그레이/XL,보통이에요,보통이에요,보통이에요,보통이에요,고양이가 저의 자신감을 한껏 끌어올려줍니다고양 고양!!,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_65180afbdf03b.jpg.list'"", ""'//image.msscdn.net/data/estimate/3465073_0/gallery_65180afc9862d.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,남성,183,58,맨투맨
49,SPACE CAT 특양면 맨투맨_B1,LV.4 먁먁펀치,12일 전,제트블랙(기모)/XL,보통이에요,보통이에요,보통이에요,보통이에요,적당한 길이감의 적당한 오버 핏엑스라지 무조건 추천 드려요!!모시고 있는 냥님과 존똑,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_65685ceca5d53.jpg.list'"", ""'//image.msscdn.net/data/estimate/3465073_0/gallery_65685ced34cfe.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,여성,165,49,맨투맨
50,SPACE CAT 특양면 맨투맨_B1,LV.4 꽃씨마공,18일 전,제트블랙(기모)/XL,보통이에요,보통이에요,선명해요,두꺼워요,중2딸이 사달라고 해서 주문해줬는데 너무 좋아하네요.적당한 기모에 고양이가 너무 귀여워요.검은색이라 먼지가 붙어서 겉옷입을때 조심해야겠어요. 그래도 가성비 최고네요,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_656158501e0b0.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,여성,165,62,맨투맨
51,SPACE CAT 특양면 맨투맨_B1,LV.3 JEonG_82,2023.10.25,제트블랙/XL,보통이에요,보통이에요,선명해요,보통이에요,통통한 키작녀 기준으로 L살지 XL 살지 많이 고민했는데 XL핏이 딱 핏이 너무 맘에 듭니당 후기에 얇다고 해서 질이 떨어지는가 싶었더니 가을에 딱 입기 좋고 민감한 피부인데도 안까칠거리고 좋네용 귀여운 고양이씨와 햅삐한 하루 보내겠습니다~❤ happy happy-★,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_6538a77c59a03.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,여성,100,100,맨투맨
52,SPACE CAT 특양면 맨투맨_B1,LV.4 영기071,2023.10.14,제트블랙/XL,보통이에요,보통이에요,보통이에요,보통이에요,배송이 조금 아쉬웠지만 명절 연휴기간동안 물량이 많아서 늦어졌다고 빠른 답변을 받았어요 두툼한편은 아니라서 지금 입기 딱 좋은것 같아요,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_652970634c5a2.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,남성,180,76,맨투맨
53,SPACE CAT 특양면 맨투맨_B1,LV.3 파송송철,2023.10.22,제트블랙/XL,보통이에요,보통이에요,선명해요,보통이에요,시보리도 짱짱하고 옷도 부드러워서 좋아요 기모버전도 사고싶어요,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_65351f2919cb2.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,여성,171,69,맨투맨
54,SPACE CAT 특양면 맨투맨_B1,LV.4 sophie1717,2023.10.22,제트블랙(기모)/M,보통이에요,보통이에요,보통이에요,보통이에요,기모가 따드솨고 사이즈 딱맞고 부드럽고 고양이도 넘 귀여워요!!최고~!~!,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_6534a80a618f6.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,여성,155,50,맨투맨
55,SPACE CAT 특양면 맨투맨_B1,LV.4 하딩이,2023.11.09,제트블랙(기모)/L,보통이에요,어두워요,선명해요,보통이에요,옷이 정말 귀여워요 대충입고 갈때도 포인트로 입기 좋은거 같아요,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_654c5c13c46a8.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,남성,172,56,맨투맨
56,SPACE CAT 특양면 맨투맨_B1,LV.3 뉴비_fe7fde2a2c1a,2023.11.07,제트블랙/XL,작아요,보통이에요,선명해요,보통이에요,사이즈 크게입으려고 xl한건데 다른옷들보다 작게나왔어요 그래도 낙낙하니 이뻐요 고양이그림이 귀엽고 청바지 면바지에 다 잘어울려요 두껍지않아서 봄가을입기좋아요,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_6549b9389cc9e.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,여성,165,62,맨투맨
57,SPACE CAT 특양면 맨투맨_B1,LV.5 djfalerjr,2023.10.15,블루그레이/L,보통이에요,보통이에요,보통이에요,보통이에요,고양이가 너무 귀여워서 친구들한테도 추천했어요,"[""'//image.msscdn.net/data/estimate/3465073_0/gallery_652ac110e2d4c.jpg.list'""]",https://www.musinsa.com/app/goods/3465073,여성,162,59,맨투맨
58,스포츠 클럽 풋볼 져지 블랙,LV.4 sorasoha,2023.06.08,M,커요,보통이에요,보통이에요,두꺼워요,꽤 크고 두꺼워서 더울 거 같아요 힙쟁이분들만 사세요... 전 찐이라 오빠 운동복 줏어다 입고 꼴값 떠는 거 가트요...,"[""'//image.msscdn.net/data/estimate/3187524_0/gallery_6481b66d0525f.jpg.list'""]",https://www.musinsa.com/app/goods/3187524,여성,162,56,져지
